keShi,jianJie,mingCheng 
眼科,"
	有时角膜穿孔后愈合不完全而形成。在破溃处白斑之中央，出现一小而深黑色的隆起，同时前房消失，眼球变软。这时眼球立即发生，增加房水产量以便维持眼球的正常硬度。如果这一隆起被新生的薄膜所封闭，则增加的房水产量必将使眼内压逐渐升高而引起继发性。如果眼压继续增高，可引起急性青光眼发作症状，而使这一层薄膜突破，症状随即消失，眼球复又变软。但是，不久后瘘孔再被新生薄膜所封闭，眼压复又增高。如此反复重演，终则由于猛烈细菌的感染，而发生眼内炎、全眼球脓炎或眼，最后眼球萎缩。也有因为眼球长期变软、角膜变平、，甚至发生而告结束。
	角膜瘘并非一瘘管，乃是一疏松组织嵌在角膜破孔内，房水从裂缝渗出。角膜瘘最容易发生在瞳孔边缘嵌顿在角膜穿孔区域内的患者。房水经常沿瞳孔缘外渗，上皮细胞不易进行修复。由此可知，角膜瘘的主要病征为角膜表面有深黑色之隆起、前房消失和眼球变软等现象。此外，还可用荧光染色证明。
	 ",角膜瘘
眼科,"
	角膜糜烂是浅层点状角膜病变的一种症状。浅层点状角膜病变(superficial punctate keratopathy)是角膜上皮三种病变类型的总称，即点状上皮角膜炎(punctate epithelial keratitis)、点状上皮糜烂(punctate epithelial erosions)和点状上皮下浸润(punctate subepithalial infiltrates)，它们常同时存在，只是轻重和病变范围有所偏重和不同。其常由细菌或病毒感染引起，其次机械性刺激或者频繁的点眼药水的刺激或紫外线刺激可引起角膜上皮糜烂和炎症。",角膜糜烂
眼科,"
	角膜是无血管结构的透明组织。透明是角膜组织的最大特征，是担负其生理功能的基本要素。一旦因外伤或有害因素影响，使其透明度丧失发生混浊，就会引起视力障碍。角膜混浊一般通过视诊即可以被看到。轻者似蒙着纱幕样略呈灰雾状，重者呈磁白色。然而极轻微的混浊尚需经特殊检查才能发现。角膜混浊可以是全部，也可为局限性。只要发现混浊，应进一步了解其性质。",角膜混浊
眼科,"
	是由于反复性疾病引起的一种临床症状。反复性角膜糜烂，是发生在角膜上皮受损(角膜破皮)后，其再生之上皮与基底膜及包氏层的连粘不够紧密，导致在闭眼休息后一旦张开眼睛，可能会让愈合不全的角膜受损处再度撕裂开来，而导致角膜破皮的症状(、发红、怕光、、睁不开眼等)一再反复出现，同时也让细菌有可乘之机，而造成角膜的感染、溃烂。另外有些人并没有外伤的病史，但却出现反复性角膜糜烂的症状，则可能是因为其角膜上皮之基底膜本身就有病变存在，还需更进一步厘清原因。
	浅层点状变(superficial punctate keratopathy)是角膜上皮三种病变类型的总称，即点状上皮(punctate epithelial keratitis)、点状上皮糜烂(punctate epithelial erosions)和点状上皮下浸润(punctate subepithalial infiltrates)，它们常同时存在，只是轻重和病变范围有所偏重和不同。",角膜上皮糜烂
眼科,"
	树枝状角膜的病毒感染有一系列的临床表现,常导致反复的角膜炎症,血管形成,瘢痕形成和视力减退。
	树枝状角膜炎症状和体征初发(原发)感染通常为一无特征性的自限性结膜炎,可伴有性睑缘炎.复发时(继发)通常呈上皮性角膜炎(亦称树枝状角膜炎),其特征为角膜上皮呈树枝状病变,与树叶的叶脉相似,末端呈球形。早期症状为异物感,,和结膜,随着反复复发,角膜知觉减退或消失,结果可能引起和永久性角膜瘢痕形成。盘状角膜炎累及角膜基质,是角膜深层的盘状局限性和混浊,伴有虹膜炎,常在上皮性角膜炎后发生。盘状角膜炎可能代表机体对病毒的免疫反应.不是由反复的单纯疱疹病毒引起的不愈合或愈合极慢的上皮性缺损,被称为无痛性溃疡。
	树枝状角膜炎治疗局部治疗(例如1%氟苷眼药水,每日9次或3%阿糖腺苷眼膏,每日5次)往往有效。偶需口服阿昔洛韦400mg,每日5次。如果树枝状病灶周围的上皮疏松和水肿,则在开始应用药物治疗前用棉签尖端轻拭作清创术可加速愈合。上皮性角膜炎局部禁用皮质类固醇,但后期当角膜基质(盘状角膜炎)或葡萄膜被累及时,合并应用皮质类固醇与抗病毒药可能有效。伴有的病例,1%阿托品滴眼是有益的。1周后尚未痊愈的病例和累及角膜基质或葡萄膜的病例皆应请眼科医师治疗。
	(herpes zoster ophthalmicus)可合并眼睑炎，结膜炎、角膜炎、，葡萄膜炎、(急性视网膜坏死)、，眼肌等。其中60%可发生(herpes zoster keratitis)，造成角膜瘢痕，严重影响视力。近来有逐渐增多的倾向，值得警惕。",角膜树枝状改变
眼科,"
	[Medicine] keratitis ：因角膜外伤，细菌及病毒侵入角膜引起的炎症。患眼有异物感，刺痛甚至烧灼感。球结膜表面混合性，伴有怕光、、和分泌物增加等症状。角膜表面浸润有溃疡形成。
	角膜炎症必然使视力或多或少地受到影响，尤以炎症侵犯瞳孔区域者更为严重。溃疡愈合后形成的角膜瘢痕不但阻碍光线进入眼内，并能使角膜表面弯曲度和屈光折射力发生改变，使物体不能在视网膜上聚焦形成清晰物像，因而视力降低。视力的受累程度完全取决于瘢痕所在的位置，如果位于角膜正中，纵然瘢痕很小，但影响视力却很大。",角膜炎
眼科,"
	由于疾病引起的，在角膜上带有点状的暗灰色的浑浊。角膜是无血管结构的透明组织。透明是角膜组织的最大特征，是担负其生理功能的基本要素。一旦因外伤或有害因素影响，使其透明度丧失发生混浊，就会引起。
	角膜的透明性主要是依靠其组织结构的光学一致性。因此具备上皮和内皮的完整、角膜基质板片的排列整齐、角膜组织恰当的含水量以及角膜组织无血管等条件，才能维持其透明性。故凡某些因素破坏了上述基本条件，均可造成角膜混浊。如炎症导致细胞浸润或不透明物质沉着、过多的水分通过损害的角膜内皮渗入角膜实质、某些病变引起的角膜新生血管或瘢痕组织破坏了角膜板片及上皮排列的规则性等。　　",角膜上点状暗灰色混浊
眼科,"
	是常见眼外伤，尤其在干旱、风沙大地区以及重工业区多见，处理不当可造成不同程度角膜感染，甚至失明等严重并发症，影响患者的正常工作和生活。
	细小异物碎屑停留于角膜表面或刺入角膜之中者即称角膜异物，最常见的为机床溅出的金属细屑、敲击飞起的细小碎片、爆炸时的金属或火药微粒、煤屑、石屑、随风飞扬的尘粒、谷壳、细刺等等。工厂工人的角膜异物以铁屑最多。大多数角膜异物存留在角膜浅支或表面，但也有刺入角膜的深层者。至于异物的数目，可为一个、数个或数日众多者不等。",角膜异物
神经内科,"
	角膜外缘有棕绿色色素环是肝豆状核变性的症状之一。由于患者体内缺乏血浆铜蓝蛋白不能与铜结合以致大量铜沉积于肝脑(豆状核)、角膜和肾脏，导致铜代谢障碍并引起一系列内脏功能和组织上的损害;最常见的部位是脑基底核、小脑、大脑皮质、角膜、肝、肾等处。发病原因为常染色体隐性单基因遗传疾病有阳性家族史者约占20%～30%大多数系同胞一代发病。发现其基因至少存在25种突变，定位于染色体13。至于其基因缺陷是结构基因或控制基因尚未确定有的文献报道近亲婚配者发病率较高但尚有争议。",角膜外缘有棕绿色色素环
眼科,"
	包括很多种，常见的有角膜，角膜。
	化学烧伤是化学物质对局部的损伤作用，主要是细胞脱水和蛋白质变性，有的产热而加重烧伤。有的化学物质被吸收后可发生中毒。碱性眼化学烧伤是临床常见而处理棘手的眼外伤之一。伤后发生的无菌性角膜性角膜溃病、穿孔、眼球粘连及继 发性青光眼等，更是眼部致残的常见原因。眼的化学性烧伤，凡是碱烧伤，其治疗是眼科界的一大难题;早期的正确处理对于尽可能恢复视功能、减少并发症十分重要。
	热烧伤是指 由热水、蒸气、火焰、电流等高温所造成的。
	 
	 ",角膜烧伤
眼科,"
	角膜感染表现为，皮下组织型可见皮下组织有稀薄脓液，内有渗出液，若囊肿壁切除不全、留有窦道，可长期不愈。
	暗色丝孢霉病(phaeohyphomycosis)是一组暗色真菌引起的以组织中有暗色菌丝为特征的皮肤、皮下组织或系统性感染。1974年Ajello提出此命名。暗色丝孢霉病在世界各地都有散在病例报道，但多见于热带。近年来在我国山东、东北和湛江等地有散发病例报道。致病途径主要是外源性感染和条件致病性感染。感染途径可能是病原菌经皮肤破损处植入或吸入真菌孢子。临床表现为浅溃疡、、褐黑色斑或状增生，自觉微痒或轻度，有的可无自觉症状。靠真菌学检查和组织病理检查诊断。大多对抗真菌药物不敏感，疗效欠佳。",角膜有菌苔或溃疡
眼科,"
	角膜知觉下降引起瞬目减少，影响泪膜重建。一方面，角膜知觉减退使角膜经反射弧传导到大脑系统的神经冲动减少，导致大脑下传到泪腺的神经冲动减少，并引起泪液基础分泌量减少。另一方面，角膜知觉减退后，由于瞬目频率与角膜知觉成正相关，相应的瞬目频率就会减少，而瞬目是泪膜重建的基础:每次眨眼时,瞬目动作将泪液粘蛋白均匀分布于角膜表面,也将水液层和脂质层均匀分布于角膜表面,完成泪膜重建。眨眼次数减少，会导致泪液蒸发加强,影响粘蛋白在眼表的均匀分布,从而使水液层和脂质层无法很好地附着,影响泪膜重建。
	是的一种临床症状。暴露性角膜炎(exposure keratitis)常见于睑裂闭合不全的各种病变，致角膜暴露及瞬目运动障碍，泪液不能正常湿润角膜而发生角膜上皮损伤。",角膜知觉减少
眼科,"
	角膜改变：Fuchs内皮具有，通常称为“cornea guttata”。
	Fuchs内皮营养不良(Fuchs endothelial dystrophy),又叫(cornea guttata)，是一种常见现象，随年龄其发生率显著增加。许多滴状角膜患者，角膜其他方面表现正常且不影响视力。少数患者发生角膜基质和上皮，可引起视力显著减退。",角膜中央后部典型碎银状外貌
眼科,"
	角膜好比手表上覆盖的玻璃，它覆盖着虹膜和瞳孔。角膜外层细胞是身体复原最快的组织，但不能因此掉以轻心。
	阳光或一些外界物体特别是表面较粗糙的固体物接触或擦过角膜表面时，均可造成角膜不同程度的擦伤，如角膜上皮缺损或剥脱等。接触家庭常用化学物也会引起该病。眼睛会红红的、会痛，而且一直流眼泪。单纯的浅擦伤，治疗效果良好。",角膜灼伤刮伤
中医综合,"
	亦称为迟冷质，多由饮食不当或疾病困扰而导致。这里的“痰”并非只指一般概念中的痰，而是指人体津液的异常积留，是病理性的产物，痰湿体质是目前比较常见的一种体质类型，当人体脏腑、阴阳失调，气血津液运化失调，易形成痰湿时，便可以认为这种体质状态为痰湿体质。",痰湿体质
遗传病科,"
	是对指(趾)甲损害所出现的病症状之一。指(趾)甲-髌骨综合征(nail-patella syndrome)或遗传性骨-指(趾)症是一种遗传性疾病，其特征是髌骨发育不良或缺失、指(趾)甲、肘发育不良、髂骨角和。本综合征是常染色体显性遗传，基因位点与腺苷酸环化酶和ABO血型的位点连锁位于9号染色体上。",角形甲弧影
皮肤科,"
	由角质，脂质和尘埃构成。粉刺毛漏斗部扩张，其内充填着粗0.5~3.0MM ，长1.0到2.0MM的物质就是角栓。是由皮脂、细胞屑和细菌组成的一种“栓”样物阻塞在毛囊开口处而形成的。其中的一部分由于空气中的尘埃、污垢和氧化作用，使其接触空气的一头逐渐变黑，就成为“黑头粉刺”。
	黑头主要是由皮脂、细胞屑和细菌组成的一种“栓”样物，阻塞在毛囊开口处而形成的。加上空气中的尘埃、污垢和氧化作用，使其接触空气的一头逐渐变黑，所以得了这么一个不太雅致的称号——黑头。
	黑头是硬化油脂阻塞物，通常出现在颜面的额头、鼻子等部位，当油脂腺受到过分刺激，毛孔充满多余的油脂而造成阻塞时，在鼻头及其周围部分，经常会有油腻的感觉。这些油脂最终会硬化，经氧化后成为黑色的小点，这些小点就是被称作黑头的油脂阻塞物。",角栓
中医综合,"
	所谓，就是指水液代谢障碍而引起的局部病理产物，又成为某些以痰多、苔腻、脉滑等为主症的疾病的致病因素。一般来说，黏稠者为痰，清稀者为饮。
	1.痰：痰较为黏稠，普在人体中的位置不固定，位置不同，所引发的疾病各不相同。例如，滞留于四肢中的痰会引发等病症，滞留于胃中的痰会导致、呕吐、;滞留于肺中会引起痰多、等病症，滞留于心中的痰会导致心神不宁。
	2.饮：饮较为稀薄，饮在人体中的位置不同，所引发的疾病也不相同。例如，滞留于肺中的饮会引发咳嗽、，滞留于胃肠中的饮会引起呕吐、;滞留于胁下的饮，会引发胁下疼痛、咳嗽。",痰饮
皮肤科,"
	角质层异常增厚，为角化过度的一种解释，另外还有一种解释是，皮肤或粘膜表面的上皮细胞过度角化,角质层增厚的一种病理变化。虽然角化过度可发生于任何动物的任何部位,但常被看作是牛特别是犊牛的临床症状。常因接触或摄入某种化学物质而致,亦可由病毒引起。犊牛角化过度时,躯干上三分之二及颈侧皮肤增厚、有皱褶,特别是颌骨角部和颈部发干、变灰、脱毛发皱,同时口腔、舌、食道、胃。可见于皮松解角化过度性。",角质层过度增厚
皮肤科,"
	一个代谢全正常的肌肤角质层，约有10到15层，最上层的会不断脱落，让出空间给下面新生向上推进的细胞。而角质层的细胞虽已是死细胞，但却是保护肌肤的重要屏障，可以防止外来细菌直接侵袭，以及皮肤水分散失。一个新陈代谢正常的肌肤是不需要靠外力来去除角质，因为到了一定时间，最外层的细胞就会自动脱落。细胞由活到死的代谢时间一般人约为14到28天，年纪越大，代谢所需时间越长，可以到达35天甚至更久。 但现代人因接触的外在环境条件变差，饮食不均衡、生活作息不正常、熬夜、抽烟、喝酒、情绪等因素影响，常会使得代谢速度减缓，不正常的代谢使得角质细胞无法自然脱落，厚厚地堆积在表面，导致、暗沉，即是。常见于病。",角质增厚
皮肤科,"
	是由于脚心汗腺多，容易出汗，汗液里除含水分、盐分外，还含有乳酸及尿素。在多汗条件下，脚上的细菌大量繁殖并分解角质蛋白，再加上汗液中的尿素、乳酸，这样就会发出一种臭味。若鞋子不透气，空气不流通，臭味就会越积越浓，臭气异常强烈。",脚臭
儿科综合,"
	儿童的声带比较弱，很容易受到损伤。早期时发高音破裂，用声易疲劳而不持久，发低音无变化。以后逐渐加重，因多数音破裂而嘶哑从间歇性发展为持续性，病人难以歌唱，亦不能高声说话。",小儿声带损伤
儿科综合,"
	：发作时主要表现为持续、难以安抚的哭吵。主要表现为哭闹不安，可伴有呕吐、面颊潮红、翻滚、双下肢蜷曲等症状。",小儿双下肢蜷曲
小儿内科,"
	",小儿生理性贫血
儿科综合,"
	维生素D缺乏症主要是由于维生素D缺乏，血钙降低导致神经肌肉兴奋性增高，出现惊厥、喉痉挛或手足抽搐等症状。多见于4个月～3岁的婴幼儿。有维生素D不足史，如日光曝晒不足史;膳食中维生素D摄入不足史，如以维生素D含量低的乳类为主食的婴儿;有因需要量增高而致维生素D相对不足史，如生长速度快的婴儿、早产儿;有维生素D吸收不良如胰、肠疾病，胆道和淋巴管梗阻史等。",小儿维生素D缺乏
儿科综合,"
	小儿腿抽筋指小儿腿部肌肉痉挛，腿常抽筋大多是缺钙、受凉、局部神经血管受压引起。是一种肌肉自发的强制性收缩。发生在小腿和脚趾的肌肉痉挛最常见，发作时疼痛难忍，尤其是半夜抽筋时往往把人痛醒，有好长时间不能止痛。休息不足或休息过多导致局部酸性代谢产物堆积，均可引起肌肉痉挛。如走路或运动时间过长，使下肢过度疲劳或休息睡眠不足，都可使乳酸堆积;睡眠休息过多过长，血液循环减慢，使二氧化碳堆积等。",小儿腿抽筋
皮肤科,"
	是指脚底皮肤表质增生，干燥，失去弹性，皮肤角质层脆裂，造成表皮皲裂。",脚底干裂
儿科综合,"
	小儿通常指小儿在熟睡时不自主地排尿。一般情况下，孩子在3～4岁开始控制排尿，如果5～6岁以后还经常性尿床，如每周二次以上并持续达6个月，医学上就称为“遗尿症”。夜遗尿是一种常见病，在我国男孩子比女孩患此病的概率高，排除疾病引起尿床的原因，原发性夜遗尿确切病因尚不清楚。绝大多数孩子的尿床与精神因素、遗传、心理和卫生习惯、环境因素、睡眠状况、膀胱功能性容量等有关。",小儿遗尿
儿科综合,"
	本病多见于半岁以内的婴幼儿。啼哭是婴儿一种本能性反应，因为在婴儿时期尚没有语言表达能力，“哭”就是表达要求或痛苦的一种方式。如饥饿、口渴、衣着过冷或过热、尿布潮湿、臀部腋下皮肤糜烂、湿疹作痒，或虫咬等原因，或养成爱抱的习惯，均可引起患儿哭闹。这种哭闹是正常的本能性反映。中医认为小儿夜啼常因脾寒、心热、惊骇、食积而发病。",小儿夜啼
小儿外科,"
	小儿出现此症状，应疑为胆道。因蛔虫有恶酸喜碱及钻孔的特性，受周围环境影响(驱虫不当、等)而发生骚动，向上移行而窜入胆道，导致小儿突然出现右上腹绞痛，并向右侧腰部放射。患儿常伴呕吐，吐出胆汁与蛔虫。蛔虫本身有钻孔的习惯，在肠道内到处乱搅乱窜，蛔虫受周围环境影响向上移行而窜入胆道，引起腹痛症状，因为蛔虫具有游走、钻孔、扭结成团的特点，还会引起多种并发症而影响预后。",小儿右上腹阵发性绞痛
儿科综合,"
	咬指是得了的临床表现。虫体在肠内不同的发育阶段，可刺激激肠壁及神经末梢，造成胃肠神经功能失调。",小儿夜惊咬指
其他综合,"
	为妇科病常见症状，给患者带来了极大的痛苦，有时会感到疼痛难忍，不同人种不同性别和年龄引发的小腹疼痛有很多，但主要集中在膀胱，尿道，生殖器官和肠道上。应根据下腹痛的性质和特点，考虑各种不同妇科情况。但下腹痛是因为内生殖器病变而引起的疾病并不少见，应特别注意鉴别。在确诊原发疾病之前，一定要慎用镇痛药，防止掩盖疾病。",小腹刺痛
儿科综合,"
	症早期患病小儿有曳足而行，常常绊倒。之后即开始跛行，尤其在傍晚。经过短时间的休息之后或在第二天晨起后可以消失。",小儿曳足而行
肾内科,"
	小管可分为慢性小管间质性肾炎和急性小管间质性肾炎、。",小管间质性肾炎
肾内科,"
	小管性病变是免疫抑制药和抗癌药(nephropathy due to poisoning of immunosuppressive drug and anticancer drug)引起的，是指因应用免疫抑制剂和抗癌药而引起肾小球、肾小管和间质的病变以及膀胱损害，肾脏是体内药物、毒物代谢和排泄的主要器官，在其代谢和排泄过程中，可以通过多种方式对肾脏产生毒性作用，造成肾脏损害而发生中毒性肾病(toxic nephropathy)。",小管毒性病变
眼科,"
	小孩童频繁眨眼临床上称为异常瞬目综合症，过去往往以为是结膜炎所引起的，而单纯以点抗生素滴眼液处理，效果往往不好。近来随着在儿童中发病率越来越高，而受到广泛的重视和研究，从而明确了发病的原因多与、视、眼部慢性炎症刺激或异常抽动有关。最常见的病因是看电视、玩电脑、打游戏机的持续时间长，主诉主要是难以自控地频繁眨眼并伴不同程度的眼部异物感、红、痒、干涩等症状，部分患儿就诊前长期点氯霉素、润舒等滴眼液。　",小孩频繁眨眼
中医综合,"
	经前多系寒凝血滞 ，常表现为异常。为女性常见病中的一种，许多女性为此十分苦恼。在经期往往选用一些止痛片来应对，虽然可解一时的燃眉之急，但不治本。中医在治疗痛经上注重辨证论治。",小腹冷痛
儿科综合,"
	小儿 又称Hebra痒疹或早发性痒疹、轻痒疹。多在儿童期发病，皮损开始主要为红色，粟粒至绿豆大小，也可以是或丘疹样荨样皮疹。以后成为弧立性丘疹或小结节损害。由于搔抓可以出现抓痕、或样改变。四肢伸侧为常见部位，但背部、头面部等均可发生。自觉症状剧烈，皮疹消退后留有色素沉着。也可以反复发作。少数病人一直延续至成年。腋窝与腹股沟淋巴结可肿大。",小儿痒疹
肾内科,"
	：(FSGS)是儿童和成人(NS)常见的原发性肾小球疾病。其组织病理学特征是肾小球节段性瘢痕，伴或不伴肾小球毛细血管内泡沫细胞形成和粘连。局灶性是指只有部分肾小球被累及(受累肾小球<50%);节段性是指肾小球的部分小叶被累及;球性硬化是指整个肾小球阶段性的玻璃样变化或瘢痕形成。病理特点多伴有肾小管萎缩病变，。",小管萎缩病变
其他综合,"
	表皮最重要的生理功能就是形成一层保护性外皮，即角质层，以抵御外界而来的各种刺激。表皮细胞会依基底细胞→棘层细胞→颗粒层细胞→角质层细胞的顺序形态集资转变，并向表层逐渐移动，最后变成角质细胞。这种表皮细胞的分化过程叫做“”。化过度会引起一系列，如和掌跖角化症，蟾皮症和期角皮症等。",角质化
儿科综合,"
	下颌骨发育障碍的表现为颌部后缩，显状态，俗称“短下巴”，前牙呈深覆盖，后牙远中咬合错位，使上颌骨前颌及鼻显得过于突出，严重时可出现“鸟嘴”样畸形。",小颌
眼科,"
	是的临床诊断的表现。色素性青光眼(pigmentary glaucoma)是因眼前节段色素播散引起的继发性。",小梁网色素沉着
神经外科,"
	小是指小脑实质内的出血，与病有直接关系。多数表现突然起病的、频繁呕吐，枕部，一侧上下肢而无明显，可有，一侧周围性。少数呈亚急性进行性，类似小。重症大量出血者呈迅速进行性，很快进入。多在48小时内引枕大孔疝而死亡。",小脑出血
呼吸内科,"
	大肠埃希杆菌的临床表现，痰检可见痰为黏稠或脓性，可有腥臭味。",痰黏稠或脓性可有腥臭味
呼吸内科,"
	一般是由主气管内的较粘稠的分泌物震动产生， 为一种特殊的湿罗音，吸气和呼气都可听到，但是以吸气为主可以向两肺传导，所以在两肺都可以听到 (并非真的由肺部产生)，一旦分泌物排除或被吸出，痰鸣音减弱或消失。分为粗，中，细湿罗音和捻发音。分布可为局限性或两肺野满布湿罗音。多见于支气管炎，肺炎，支气管扩张症，肺淤血，肺水肿，肺梗塞等等。",痰鸣音
神经内科,"
	人体的姿势保持与随意运动完成，与大脑、基底节小脑、前庭系统、深感觉等有密切的关系。这些系统的损害将导致运动的协调不良、平衡障碍等，这些症状体征称为。根据病变部位不同，共济失调可分为四种类型：
	①深性共济失调;
	②;
	③前庭迷路性共济失调;
	④大脑型共济失调。而临床上一般称呼的“共济失调”，多特指小脑性共济失调。",小脑性共济失调
神经内科,"
	小脑-视网膜真性综合征，又称Von Hippel-Lindau综合征(病)、Hippel综合征(病)、多发性综合征、视网膜小脑血管瘤病、遗传性中枢神经系统血管瘤病、内脏性视网膜血管瘤病、Hippel-Czermak综合征、小脑网状血管瘤病、视网膜血管瘤病、Lindau综合征(病)、囊肿性视网膜血管瘤病、小脑内脏血管瘤病、小脑视网膜血管瘤综合征、Lindau瘤。",小脑-视网膜综合征
其他综合,"
	：前囟几近闭合,双侧额叶体积小,脑外间隙宽等现象,头的发育明显会受到限制,出生时或生后各种原因(缺氧、感染、外伤)也可引起脑损伤和脑萎缩，头围变小存在脑发育落后的现象。",小脑畸形
神经内科,"
	小脑位于颅后窝延髓上方、脑干的背侧、大脑半球枕叶的腹侧，被小脑幕所覆盖。小脑分为小脑蚓部及小脑半球两大部 。根据种系发生上出现的顺序，将小脑分为古小脑、旧小脑及新小脑。是指小脑损害所表现的体征，如、肌张力减退、等。",小脑体征
消化内科,"
	 是指在两对半检查中，把乙肝表面抗原(HBsAg)、乙肝e抗体(抗HBe)和乙肝核心抗体(抗HBc)三项指标同时阳性的现象称为“小三阳”。",小三阳
康复科,"
	：性小脑性协调障碍(dyssynergia cerebellaris myoclonica)是以肌阵挛、、小脑性为特征的临床综合征，由Ramsay-Hunt于1921年首次报道，故又称Ramsay-Hunt综合征。呈常染色体显性遗传病，同胞中多有发病，但也有散发病例，OMIM：159700。 Gilbert观察发现有的肌阵挛性小脑协调障碍患者的家系中遗传方式并不能完全用常染色体显性遗传的规律来解释，因而认为可能是常染色体显性遗传而外显不全所致。
	近年来对于肌阵挛性小脑性协调障碍是一个疾病实体还是一个综合征有较大的争议，1990年Marseille协作组将肌阵挛性小脑性协调障碍分成两大类，即进行性肌阵挛性癫痫(progressive myoclonic epilepsy，PME)和进行性肌阵挛性共济失调(progressive myoclonie ataxia，PMA)。PME是指肌阵挛伴有癫痫发作和进行性神经功能衰退，如轻度共济失调和;PMA是指肌阵挛、进行性，癫痫发作并不频繁。其临床表现为小脑功能损害。",小脑功能损害
其他综合,"
	脊髓是以为主要症状，病理学上是以小脑及其传入、传出途径的变性为主体的疾病，临床上是以肢体和为主要特征。大量临床资料报告研究表明：小缩的大多数患者是属于遗传性的，且病情呈慢性、进展性恶化，若得不到有效的控制，很快就会危及生命。所以，一旦发现应及早用药治疗，有效地控制病情、改善原有的症状、提高生活质量、延缓生命。但却没有彻底根治的办法，属于不治之症。",小脑失调症
神经外科,"
	：〔英文名称：spinocerebellar ataxia〕是以为主要症状，严重影响小脑定向力和功能障碍。病理学上是以小脑及其传入、传出途径的变性为主体的疾病，临床上是以肢体和为主要特征。
	临床表现
	1.初期
	走路时步履不稳，肢体摇晃;动作反应迟缓及准确性变差。
	2.中期
	说话时发音含糊不清，无法控制音调;眼球转动不平顺，影像容易产生“重叠”;肌肉不协调感加重，无法写字;有时感到吞咽困难，进食时容易呛咳。
	3.晚期
	说话极不清楚，甚至无法语言;肢体乏力，不能站立，需靠轮椅代步;理解能力逐步下降，最后失去意识，昏睡不醒。",小脑定向力和功能障碍
普外科,"
	小腿肚，北方人们通常称“腿肚子转筋”。因为腿部肌肉在活动时的收缩或舒张会导致挤压血管，使腿部血液循环加速才可以把新陈代谢产物及时带走。但是可能会由于种种因素会使代谢产物蓄积，达到一定程度，就会强烈刺激肌肉使其产生收缩，从而引发小腿抽筋现象。",小腿肚抽筋
普外科,"
	 小腿又称慢性、性溃疡、郁积性溃疡，是一种常见的。本病由于静脉曲张，静脉压增高，毛细，局部循环障碍，小动脉及淋巴管阻塞，以致局部组织，氧合作用降低，或外伤感染而促进溃疡形成。属于中医“”、“裤口疮”、“裙边疮”等病范畴。小腿溃疡一般以40岁以上的患者为多见，多因长久站立或负重跌扑，以致脉络失畅，局部气血不行，影响下肢静脉的回流;或因下肢皮肤破伤，以及抓破等，导致湿热下注，经络。",小腿溃疡
普外科,"
	是下肢静脉功能不全的症状之一。下肢静脉功能不全是下肢静脉疾病的总称。严格来说，下肢大隐不是一个单一的疾病，而是下肢静脉功能不全的最主要表现，其他表现包括下肢表皮抓痕、、色素沉着、足靴区等。下肢静脉功能不全包括下肢静脉倒流性疾病和下肢性疾病两大类，下肢静脉倒流性疾病以下肢大隐静脉曲张为主要表现。",小腿发胀
血液科,"
	(hypotonicdehydration)又称继发性脱水或伴有的，其特征是失钠多于，血清钠浓度<135mmol/L，血浆渗透压<280mOsm/L。钠血症(hyponatremia)为血清钠＜135mmol/L，仅反映钠在血浆中浓度的降低，并不一定表示体内总钠量的丢失，总体钠可以正常甚或稍有增加。",失钠多于失水且血清钠浓度低
急诊科,"
	失钠性：胃肠紊乱、手术、感染等所致的钠丧失，可促发如同原发性症中的危象。此型危象昏迷的周围特别显著。值得注意的是本病患者在开始应用皮质激素的最初数天内，可发生钠的排泄增多，可能是由于肾小球滤过率原来甚低，经治疗后被提高之故。有报告在用皮质素治疗后不到1周，患者进入昏迷状态，并伴有显著的钠负平衡。",失钠性昏迷
皮肤科,"
	是综合症的临床表现之一，(veneousvaricosesyndrome)包括静脉曲张、静脉功能不全或淤积性和小腿等一组疾病。本病与遗传因素有关，长期站立或重体力劳动者发病率较高，任何使髂静脉内压增高的情况如妊娠、腹腔或盆腔巨大肿瘤等均可引起。由于皮肤缺氧和抵抗力降低，加上外伤和感染，均可促使溃疡的发生。",小腿和踝关节周围的紫红色瘀斑
